best_seller,course_rating_avarage,course_price,num_of_buyers_students,amount_of_instructor_studnets,num_articles,video_time_length,number_of_languages,last_update,instructor_rank,amount_of_what_you_will_learn_count,amount_of_requirments_count,amount_of_companies_support,course_rating_amount
0,4.5,59.9,44595,247573,2,21.0,2,90,4.3,12,6,0,618
0,4.8,59.9,19944,1103,5,6.5,2,90,4.5,13,6,0,99
0,4.8,59.9,306,8512,15,8.0,2,335,4.1,12,6,0,52
0,4.5,59.9,141,235072,2,12.5,2,30,4.5,22,5,0,36
0,4.7,59.9,34821,725116,2,6.5,2,30,4.1,10,6,0,339
0,4.4,59.9,23071,263525,9,10.0,4,640,4.5,10,7,5,5538
0,4.7,59.9,895,5517,2,8.5,2,30,4.6,8,6,5,109
0,4.8,59.9,487,487,12,5.5,2,275,4.8,6,6,0,129
0,4.6,59.9,2180,2180,1,9.0,2,485,4.6,3,6,0,159
0,4.7,59.9,312,8302,1,5.5,2,60,4.3,7,7,0,55
0,4.5,59.9,52103,2098408,3,8.5,2,425,4.6,4,6,5,2349
0,4.7,59.9,4951,2098408,3,10.5,2,30,4.6,16,6,5,536
0,4.7,59.9,13960,50418,4,14.0,2,670,4.6,6,6,5,2222
0,4.7,59.9,91,82339,1,6.0,2,90,4.4,7,5,0,13
0,4.9,59.9,31796,40796,10,8.5,2,515,4.7,12,6,0,596
0,4.8,59.9,18786,160567,2,4.5,2,215,4.4,4,5,0,317
0,4.4,59.9,2497,431,4,10.5,2,30,4.6,47,6,0,46
0,4.6,59.9,2799,547988,1,6.5,2,30,4.5,6,7,5,498
0,4.6,59.9,1650,11,3,20.0,2,215,4.6,11,6,5,302
0,4.5,59.9,9559,39948,5,9.5,2,215,4.4,4,6,5,716
0,5.0,59.9,497,167969,4,7.5,2,730,4.0,10,6,0,64
0,4.2,59.9,22599,247573,2,17.0,2,90,4.3,24,6,0,449
0,4.2,59.9,10113,431,4,11.0,2,30,4.6,39,5,0,97
0,4.5,59.9,6809,76893,27,1.0,2,1310,4.2,5,5,0,95
0,4.1,59.9,15206,247573,2,9.5,2,90,4.3,10,6,0,183
0,4.7,59.9,2421,10159,72,5.5,2,455,4.6,6,7,5,270
0,4.6,59.9,2682,82339,3,7.0,2,215,4.4,6,6,5,224
0,4.6,59.9,64484,91020,7,5.0,2,90,4.6,12,6,0,501
0,4.5,59.9,5627,1128,3,11.5,2,365,4.6,4,5,0,840
0,4.4,59.9,1464,178563,12,24.0,2,60,4.5,9,6,5,161
0,4.6,59.9,305,235072,4,9.5,2,30,4.5,22,6,0,66
0,4.3,59.9,47262,201136,10,15.0,2,185,4.3,2,6,0,662
0,4.7,59.9,110,7943,1,30.0,2,580,4.2,2,5,0,15
0,4.3,59.9,38000,247573,2,15.5,2,60,4.3,7,6,5,603
0,4.5,59.9,736,83,21,17.5,2,215,4.5,30,6,0,63
0,4.4,59.9,30773,725116,1,9.5,2,185,4.1,22,6,0,369
0,4.1,59.9,702,5517,2,9.0,2,30,4.6,12,5,5,59
0,4.1,59.9,5029,37659,5,9.5,2,215,4.4,11,6,5,259
1,4.7,59.9,587,6353,3,6.0,2,90,4.7,7,6,0,160
0,4.5,59.9,818,5517,2,5.0,2,30,4.6,5,6,5,113
0,4.4,59.9,3168,3168,21,23.0,2,700,4.4,4,6,0,300
0,4.5,59.9,87497,1444873,18,7.5,2,150,4.4,10,6,0,738
0,4.6,59.9,174,235072,1,6.0,2,30,4.5,22,5,0,68
0,4.3,59.9,163746,538436,1,3.5,2,305,4.3,8,6,0,1096
0,4.2,59.9,132097,538436,1,2.5,2,365,4.3,11,6,0,717
0,4.5,59.9,47,2744,2,1.0,2,120,4.4,8,5,0,30
1,4.7,59.9,131,7727,6,5.5,2,425,4.6,7,6,0,12
0,4.4,59.9,16173,17264,15,5.0,6,760,4.5,7,5,5,1517
1,4.8,59.9,4480,39618,10,9.5,2,90,4.3,4,6,0,226
0,4.4,59.9,1079,5079,8,10.0,2,30,4.5,9,6,0,350
0,4.5,59.9,332,82339,1,5.0,2,90,4.4,9,6,0,52
1,4.6,59.9,5078,68856,3,8.0,2,730,4.4,24,6,5,551
0,4.4,59.9,608,608,10,7.0,2,30,4.4,4,6,5,100
0,4.6,59.9,24916,21672,8,27.0,2,1430,4.3,9,6,0,245
0,4.6,59.9,44130,1444873,3,8.5,2,150,4.4,7,5,0,247
0,4.4,59.9,2623,9,8,19.0,2,30,4.6,42,6,0,55
0,4.7,59.9,525,82339,2,4.0,2,820,4.4,6,6,5,53
0,4.2,59.9,132361,538436,1,2.5,2,365,4.3,11,6,0,717
0,4.7,59.9,2294,39618,7,11.0,2,335,4.3,1,5,0,51
0,4.3,59.9,580,1490,8,13.5,5,30,4.5,16,5,0,71
0,4.2,59.9,7553,160567,1,4.0,2,215,4.4,10,5,5,434
1,4.3,59.9,3145,54049,2,6.0,2,90,4.4,6,6,0,28
0,4.2,59.9,34549,201,2,6.0,2,245,4.3,18,6,0,154
0,4.7,59.9,20403,343,2,10.5,2,515,4.6,8,6,0,253
0,4.2,59.9,35911,35911,1,4.5,2,425,4.2,3,6,0,743
0,4.1,59.9,666,148,2,2.5,2,365,4.1,6,6,0,148
0,4.6,59.9,74985,1444873,3,6.0,2,150,4.4,5,6,0,390
0,4.4,59.9,2012,12498,1,8.0,2,730,4.6,2,7,5,281
